Timestep,Score,Won,Steps Alive
376,2,0,47
752,1,0,47
1128,0,0,47
1520,2,0,49
2032,1,0,64
3192,3,0,145
3576,1,0,48
4040,1,0,58
4472,1,0,54
4848,2,0,47
5256,0,0,51
5696,1,0,55
6072,2,0,47
6448,2,0,47
7296,3,0,106
7712,1,0,52
8048,1,0,42
8472,1,0,53
8904,1,0,54
9080,2,0,22
9480,2,0,50
10712,5,0,154
11088,1,0,47
11472,1,0,48
11936,1,0,58
12328,2,0,49
13144,2,0,102
13528,2,0,48
13976,1,0,56
14400,2,0,53
15344,2,0,118
15808,2,0,58
16184,1,0,47
16648,2,0,58
17072,1,0,53
17456,0,0,48
18016,0,0,70
18432,2,0,52
18888,1,0,57
19800,2,0,114
20648,2,0,106
21080,1,0,54
21456,1,0,47
22352,4,0,112
22736,1,0,48
23176,0,0,55
23584,2,0,51
23960,0,0,47
25192,3,0,154
25640,2,0,56
26016,1,0,47
26408,2,0,49
26800,1,0,49
27192,1,0,49
27592,0,0,50
28760,3,0,146
29216,1,0,57
29760,1,0,68
30152,1,0,49
30528,1,0,47
30920,2,0,49
31304,2,0,48
31736,1,0,54
32232,1,0,62
32608,1,0,47
33016,1,0,51
34616,5,0,200
35088,2,0,59
35544,1,0,57
35936,2,0,49
36360,2,0,53
36736,2,0,47
37120,2,0,48
37496,1,0,47
37944,1,0,56
38376,1,0,54
40168,8,0,224
40984,2,0,102
41368,2,0,48
41752,1,0,48
42128,2,0,47
42592,1,0,58
43784,2,0,149
44232,1,0,56
45024,2,0,99
45456,1,0,54
46240,2,0,98
46640,1,0,50
47112,2,0,59
48792,2,0,210
49160,1,0,46
49544,1,0,48
49920,2,0,47
50880,4,0,120
52160,3,0,160
52928,2,0,96
53304,2,0,47
53704,1,0,50
54120,1,0,52
54496,1,0,47
54872,0,0,47
55248,1,0,47
56056,2,0,101
57432,2,0,172
59216,5,0,223
59640,2,0,53
60016,2,0,47
60448,1,0,54
60840,1,0,49
61688,2,0,106
62128,1,0,55
62560,1,0,54
63592,4,0,129
66760,7,0,396
67936,4,0,147
68456,1,0,65
69288,3,0,104
70520,2,0,154
70952,1,0,54
71336,1,0,48
71728,1,0,49
72536,2,0,101
72920,1,0,48
73280,1,0,45
74968,5,0,211
75400,1,0,54
76208,3,0,101
76632,2,0,53
77136,1,0,63
77512,2,0,47
77960,1,0,56
78400,2,0,55
78816,2,0,52
79192,2,0,47
79656,2,0,58
80032,2,0,47
81336,2,0,163
81720,2,0,48
81928,1,0,26
82320,1,0,49
82760,1,0,55
83160,0,0,50
84464,3,0,163
85336,3,0,109
85808,0,0,59
86248,0,0,55
86640,2,0,49
87064,1,0,53
87872,2,0,101
88256,1,0,48
89512,7,0,157
89936,0,0,53
90424,0,0,61
90800,1,0,47
91272,1,0,59
91672,1,0,50
92064,2,0,49
92624,1,0,70
93000,2,0,47
93848,2,0,106
94224,1,0,47
94664,2,0,55
95128,2,0,58
95576,1,0,56
95976,2,0,50
96496,1,0,65
97256,4,0,95
97680,1,0,53
98056,2,0,47
98640,1,0,73
99120,2,0,60
99568,1,0,56
100856,5,0,161
102248,3,0,174
102672,2,0,53
103112,1,0,55
104736,5,0,203
107344,6,0,326
107728,1,0,48
108136,2,0,51
108984,1,0,106
109576,1,0,74
109952,0,0,47
111216,2,0,158
111656,1,0,55
112096,1,0,55
114144,6,0,256
114632,1,0,61
114760,1,0,16
115168,1,0,51
115560,1,0,49
115936,1,0,47
116392,1,0,57
116784,1,0,49
118336,1,0,194
119624,3,0,161
120096,1,0,59
120928,2,0,104
121344,2,0,52
121728,1,0,48
122144,2,0,52
123768,7,0,203
124144,2,0,47
124520,1,0,47
124976,2,0,57
126728,4,0,219
127128,0,0,50
128000,3,0,109
128376,1,0,47
129672,4,0,162
130544,2,0,109
130928,1,0,48
131352,1,0,53
131744,2,0,49
132992,3,0,156
133592,2,0,75
133968,2,0,47
134344,1,0,47
134720,1,0,47
135864,4,0,143
137504,6,0,205
137880,1,0,47
139016,4,0,142
139520,2,0,63
139968,1,0,56
141192,4,0,153
141776,2,0,73
143088,5,0,164
143560,2,0,59
145944,6,0,298
147120,4,0,147
148208,5,0,136
148592,2,0,48
148984,1,0,49
149376,1,0,49
150312,3,0,117
151592,3,0,160
152376,2,0,98
152760,1,0,48
153552,3,0,99
154032,1,0,60
154472,1,0,55
155256,2,0,98
155672,1,0,52
156080,1,0,51
156456,1,0,47
156848,1,0,49
158144,3,0,162
158928,2,0,98
160192,5,0,158
160584,1,0,49
161360,2,0,97
161792,1,0,54
162168,2,0,47
162560,2,0,49
163008,1,0,56
163768,2,0,95
163912,1,0,18
164688,2,0,97
166000,4,0,164
166896,3,0,112
167352,1,0,57
167808,2,0,57
168640,3,0,104
169048,1,0,51
169824,3,0,97
170600,3,0,97
170976,1,0,47
171376,1,0,50
172152,2,0,97
172576,2,0,53
173424,2,0,106
173800,2,0,47
175048,3,0,156
175424,1,0,47
175896,2,0,59
177152,4,0,157
179064,4,0,239
179440,1,0,47
180232,3,0,99
181568,4,0,167
182760,4,0,149
183144,1,0,48
183960,3,0,102
184352,0,0,49
184840,1,0,61
185296,2,0,57
185704,1,0,51
186216,1,0,64
187456,5,0,155
187840,1,0,48
188312,1,0,59
188768,1,0,57
189208,1,0,55
191360,5,0,269
191736,2,0,47
192184,1,0,56
192544,1,0,45
194104,4,0,195
195424,4,0,165
195856,2,0,54
197056,4,0,150
197488,0,0,54
197896,1,0,51
199120,3,0,153
199496,2,0,47
200304,2,0,101
201576,3,0,159
202376,3,0,100
202800,1,0,53
203232,0,0,54
203648,0,0,52
204088,1,0,55
204464,0,0,47
206048,6,0,198
206520,1,0,59
206944,1,0,53
207368,2,0,53
208152,4,0,98
208552,1,0,50
208960,2,0,51
210296,4,0,167
210672,2,0,47
211056,1,0,48
211440,1,0,48
212064,2,0,78
214656,9,0,324
215904,4,0,156
216408,2,0,63
217184,2,0,97
217568,2,0,48
217992,1,0,53
218368,2,0,47
218880,2,0,64
219760,3,0,110
220624,3,0,108
221008,2,0,48
222640,4,0,204
223896,4,0,157
225160,2,0,158
225544,2,0,48
225920,1,0,47
226376,2,0,57
227600,3,0,153
229832,6,0,279
231440,3,0,201
232344,2,0,113
234664,9,0,290
235872,2,0,151
237152,4,0,160
238112,2,0,120
238592,1,0,60
239272,2,0,85
240048,3,0,97
240424,2,0,47
240816,1,0,49
241208,0,0,49
241632,2,0,53
242008,0,0,47
243752,5,0,218
244128,2,0,47
244600,1,0,59
244976,1,0,47
246328,4,0,169
246752,1,0,53
247176,1,0,53
248352,4,0,147
248744,1,0,49
249216,2,0,59
249672,1,0,57
250072,1,0,50
250448,2,0,47
251712,4,0,158
252872,3,0,145
253248,1,0,47
253688,1,0,55
254064,1,0,47
255504,3,0,180
255896,1,0,49
256280,2,0,48
257520,3,0,155
259024,5,0,188
259400,2,0,47
259784,1,0,48
260928,3,0,143
261304,2,0,47
262680,3,0,172
263152,1,0,59
264400,3,0,156
265560,4,0,145
266000,2,0,55
266376,1,0,47
266776,1,0,50
267160,0,0,48
267536,2,0,47
267976,1,0,55
268368,1,0,49
268776,1,0,51
269184,1,0,51
269560,2,0,47
270600,5,0,130
271384,2,0,98
272040,1,0,82
272488,1,0,56
273416,2,0,116
274968,5,0,194
275400,1,0,54
275872,2,0,59
276312,1,0,55
276840,1,0,66
278160,4,0,165
278608,1,0,56
279000,2,0,49
279448,2,0,56
281912,8,0,308
282336,1,0,53
283616,4,0,160
285296,7,0,210
287176,4,0,235
287600,1,0,53
288032,1,0,54
288544,1,0,64
289792,4,0,156
291488,4,0,212
292720,4,0,154
293928,2,0,151
294792,2,0,108
294936,1,0,18
295312,1,0,47
295704,1,0,49
297864,6,0,270
298272,1,0,51
298736,1,0,58
299216,2,0,60
300296,2,0,135
300672,2,0,47
301088,1,0,52
301464,2,0,47
302912,6,0,181
303352,1,0,55
303768,2,0,52
305824,3,0,257
306720,2,0,112
307096,2,0,47
308296,4,0,150
309472,4,0,147
309936,1,0,58
310360,1,0,53
311152,1,0,99
311304,1,0,19
311696,1,0,49
312184,1,0,61
314216,6,0,254
315392,5,0,147
315864,1,0,59
316312,1,0,56
317120,4,0,101
318016,2,0,112
318928,2,0,114
319312,1,0,48
319808,1,0,62
320744,3,0,117
321136,2,0,49
321944,1,0,101
322320,0,0,47
322768,1,0,56
323240,2,0,59
323616,1,0,47
323984,2,0,46
324480,1,0,62
325320,2,0,105
325760,1,0,55
326136,1,0,47
326584,2,0,56
326968,1,0,48
327560,0,0,74
327744,0,0,23
328240,2,0,62
328736,1,0,62
329248,2,0,64
330080,4,0,104
330480,1,0,50
331776,4,0,162
332608,3,0,104
333048,0,0,55
333488,1,0,55
333944,2,0,57
334336,1,0,49
334728,2,0,49
335144,1,0,52
335984,3,0,105
337184,3,0,150
337560,2,0,47
338032,1,0,59
338928,1,0,112
339320,1,0,49
339712,2,0,49
340104,1,0,49
341392,4,0,161
341880,2,0,61
342320,1,0,55
342696,2,0,47
343464,2,0,96
344704,3,0,155
345112,1,0,51
345528,2,0,52
346024,1,0,62
346416,1,0,49
346832,1,0,52
347616,2,0,98
348160,1,0,68
348952,2,0,99
349376,1,0,53
349784,1,0,51
350176,1,0,49
350576,1,0,50
351440,2,0,108
352240,2,0,100
353040,2,0,100
354392,3,0,169
355808,4,0,177
356200,1,0,49
356584,1,0,48
360456,12,0,484
361816,4,0,170
363064,4,0,156
364224,4,0,145
364632,2,0,51
365016,1,0,48
365400,0,0,48
366024,1,0,78
366456,2,0,54
366848,1,0,49
367624,3,0,97
369192,5,0,196
372072,7,0,360
372448,1,0,47
373200,2,0,94
374040,3,0,105
374504,1,0,58
374912,0,0,51
375360,2,0,56
