Timestep,Score
1000,0
2000,0
3000,0
4000,0
5000,0
6000,0
7000,0
8000,0
9000,0
10000,0
11000,0
12000,0
13000,0
14000,0
15000,0
16000,0
17000,0
18000,0
19000,0
20000,0
21000,0
22000,0
23000,0
24000,0
25000,0
26000,0
27000,0
28000,0
29000,0
30000,0
31000,0
32000,0
33000,0
34000,0
35000,0
36000,0
37000,0
38000,0
39000,0
40000,0
41000,0
42000,0
43000,0
44000,0
45000,0
46000,0
47000,0
48000,0
49000,0
50000,0
51000,0
52000,0
53000,0
54000,0
55000,0
56000,0
57000,0
58000,0
59000,0
60000,0
61000,0
62000,0
63000,0
64000,0
65000,0
66000,0
67000,0
68000,0
69000,0
70000,0
71000,0
72000,0
73000,0
74000,0
75000,0
76000,0
77000,0
78000,0
79000,0
80000,0
81000,0
82000,0
83000,0
84000,0
85000,0
86000,0
87000,0
88000,0
89000,0
90000,0
91000,0
92000,0
93000,0
94000,0
95000,0
96000,0
97000,0
98000,0
99000,0
100000,0
101000,0
102000,0
103000,0
104000,0
105000,0
106000,0
107000,0
108000,0
109000,0
110000,0
111000,0
112000,0
113000,0
114000,0
115000,0
116000,0
117000,0
118000,0
119000,0
120000,0
121000,0
122000,0
123000,0
124000,0
125000,0
126000,0
127000,0
128000,0
129000,0
130000,0
131000,0
132000,0
133000,0
134000,0
135000,0
136000,0
137000,0
138000,0
139000,0
140000,0
141000,0
142000,0
143000,0
144000,0
145000,0
146000,0
147000,0
148000,0
149000,0
150000,0
151000,0
152000,0
153000,0
154000,0
155000,0
156020,0
157020,0
158020,0
159020,0
160020,0
161020,0
162020,0
163020,0
164020,0
165020,0
166020,0
167020,0
168020,0
169020,0
170020,0
171020,0
172200,0
173200,0
174200,0
175200,0
176200,0
177200,0
178200,0
179200,0
180200,0
181200,0
182080,0
183260,0
184260,0
185260,0
186260,0
187260,0
188260,0
189460,0
190460,0
191460,0
192460,0
193460,0
194460,0
195460,0
196460,0
197540,0
198540,0
199580,0
200580,0
201580,0
202580,0
203580,0
204580,0
205580,0
206580,0
207580,0
208620,0
209620,0
210620,0
211620,0
212620,0
