Timestep,Max,Avg
1000,0.0,0.0
2000,0.0,0.0
3000,0.0,0.0
4000,0.0,0.0
5000,0.0,0.0
6000,0.0,0.0
7000,0.0,0.0
8000,0.0,0.0
9000,0.0,0.0
10000,0.0,0.0
11000,0.0,0.0
12000,0.0,0.0
13000,0.0,0.0
14000,0.0,0.0
15000,0.0,0.0
16000,0.0,0.0
17000,0.0,0.0
18000,0.0,0.0
19000,0.0,0.0
20000,0.0,0.0
21000,0.0,0.0
22000,0.0,0.0
23000,0.0,0.0
24000,0.0,0.0
25000,0.0,0.0
26000,0.0,0.0
27000,0.0,0.0
28000,0.0,0.0
29000,0.0,0.0
30000,0.0,0.0
31000,0.0,0.0
32000,0.0,0.0
33000,0.0,0.0
34000,0.0,0.0
35000,0.0,0.0
36000,0.0,0.0
37000,0.0,0.0
38000,0.0,0.0
39000,0.0,0.0
40000,0.0,0.0
41000,0.0,0.0
42000,0.0,0.0
43000,0.0,0.0
44000,0.0,0.0
45000,0.0,0.0
46000,0.0,0.0
47000,0.0,0.0
48000,0.0,0.0
49000,0.0,0.0
50000,0.0,0.0
51000,0.0,0.0
52000,0.0,0.0
53000,0.0,0.0
54000,0.0,0.0
55000,0.0,0.0
56000,0.0,0.0
57000,0.0,0.0
58000,0.0,0.0
59000,0.0,0.0
60000,0.0,0.0
61000,0.0,0.0
62000,0.0,0.0
63000,0.0,0.0
64000,0.0,0.0
65000,0.0,0.0
66000,0.0,0.0
67000,0.0,0.0
68000,0.0,0.0
69000,0.0,0.0
70000,0.0,0.0
71000,0.0,0.0
72000,0.0,0.0
73000,0.0,0.0
74000,0.0,0.0
75000,0.0,0.0
76000,0.0,0.0
77000,0.0,0.0
78000,0.0,0.0
79000,0.0,0.0
80000,0.0,0.0
81000,0.0,0.0
82000,0.0,0.0
83000,0.0,0.0
84000,0.0,0.0
85000,0.0,0.0
86000,0.0,0.0
87000,0.0,0.0
88000,0.0,0.0
89000,0.0,0.0
90000,0.0,0.0
91000,0.0,0.0
92000,0.0,0.0
93000,0.0,0.0
94000,0.0,0.0
95000,0.0,0.0
96000,0.0,0.0
97000,0.0,0.0
98000,0.0,0.0
99000,0.0,0.0
100000,0.0,0.0
101000,0.0,0.0
102000,0.0,0.0
103000,0.0,0.0
104000,0.0,0.0
105000,0.0,0.0
106000,0.0,0.0
107000,0.0,0.0
108000,0.0,0.0
109000,0.0,0.0
110000,0.0,0.0
111000,0.0,0.0
112000,0.0,0.0
113000,0.0,0.0
114000,0.0,0.0
115000,0.0,0.0
116000,0.0,0.0
117000,0.0,0.0
118000,0.0,0.0
119000,0.0,0.0
120000,0.0,0.0
121000,0.0,0.0
122000,0.0,0.0
123000,0.0,0.0
124000,0.0,0.0
125000,0.0,0.0
125040,0.0,0.0
126000,0.0,0.0
126040,0.0,0.0
127000,0.0,0.0
127040,0.0,0.0
128000,0.0,0.0
128040,0.0,0.0
129000,0.0,0.0
129040,0.0,0.0
130000,0.0,0.0
130040,0.0,0.0
131000,0.0,0.0
131040,0.0,0.0
132000,0.0,0.0
132040,0.0,0.0
133000,0.0,0.0
133040,0.0,0.0
134000,0.0,0.0
134040,0.0,0.0
135000,0.0,0.0
135040,0.0,0.0
136000,0.0,0.0
136040,0.0,0.0
137000,0.0,0.0
137040,0.0,0.0
138000,0.0,0.0
138040,0.0,0.0
139000,0.0,0.0
139040,0.0,0.0
140000,0.0,0.0
140040,0.0,0.0
141000,0.0,0.0
141040,0.0,0.0
141240,1,1.0
142000,0.0,0.0
142040,0.0,0.0
142240,0.0,0.0
143000,0.0,0.0
143040,0.0,0.0
143240,0.0,0.0
144000,0.0,0.0
144040,0.0,0.0
144240,0.0,0.0
145000,0.0,0.0
145040,0.0,0.0
145240,0.0,0.0
146000,0.0,0.0
146040,0.0,0.0
146240,0.0,0.0
147000,0.0,0.0
147040,0.0,0.0
147240,0.0,0.0
148000,0.0,0.0
148040,0.0,0.0
148240,0.0,0.0
149000,0.0,0.0
149040,0.0,0.0
149240,0.0,0.0
150000,0.0,0.0
150040,0.0,0.0
150240,0.0,0.0
151000,0.0,0.0
151040,0.0,0.0
151240,0.0,0.0
152000,0.0,0.0
152040,0.0,0.0
152240,0.0,0.0
153000,0.0,0.0
153040,0.0,0.0
153240,0.0,0.0
154000,0.0,0.0
154040,0.0,0.0
154240,0.0,0.0
155000,0.0,0.0
155040,0.0,0.0
155080,0.0,0.0
155240,0.0,0.0
156000,0.0,0.0
156040,0.0,0.0
156080,0.0,0.0
156240,0.0,0.0
157000,0.0,0.0
157040,0.0,0.0
157080,0.0,0.0
157240,0.0,0.0
158000,0.0,0.0
158040,0.0,0.0
158080,0.0,0.0
158120,0.0,0.0
158240,0.0,0.0
159000,0.0,0.0
159040,0.0,0.0
159080,0.0,0.0
159120,0.0,0.0
159140,0.0,0.0
159240,0.0,0.0
160000,0.0,0.0
160040,0.0,0.0
160080,0.0,0.0
160120,0.0,0.0
160140,0.0,0.0
160240,0.0,0.0
161000,0.0,0.0
161040,0.0,0.0
161080,0.0,0.0
161120,0.0,0.0
161140,0.0,0.0
161240,0.0,0.0
162000,0.0,0.0
162040,0.0,0.0
162060,0.0,0.0
162080,0.0,0.0
162120,0.0,0.0
162140,0.0,0.0
162240,0.0,0.0
163000,0.0,0.0
163040,0.0,0.0
163060,0.0,0.0
163080,0.0,0.0
163120,0.0,0.0
163140,0.0,0.0
163240,0.0,0.0
164000,0.0,0.0
164040,0.0,0.0
164060,0.0,0.0
164080,0.0,0.0
164120,0.0,0.0
164140,0.0,0.0
164280,0.0,0.0
165000,0.0,0.0
165040,0.0,0.0
165060,0.0,0.0
165080,0.0,0.0
165120,0.0,0.0
165140,0.0,0.0
165280,0.0,0.0
166000,0.0,0.0
166040,0.0,0.0
166060,0.0,0.0
166080,0.0,0.0
166100,0.0,0.0
166120,0.0,0.0
166140,0.0,0.0
166280,0.0,0.0
167000,0.0,0.0
167040,0.0,0.0
167060,0.0,0.0
167080,0.0,0.0
167100,0.0,0.0
167120,0.0,0.0
167140,0.0,0.0
167280,0.0,0.0
168000,0.0,0.0
168040,0.0,0.0
168060,0.0,0.0
168080,0.0,0.0
168100,0.0,0.0
168120,0.0,0.0
168140,0.0,0.0
168200,0.0,0.0
168280,0.0,0.0
169000,0.0,0.0
169040,0.0,0.0
169060,0.0,0.0
169080,0.0,0.0
169100,0.0,0.0
169120,0.0,0.0
169140,0.0,0.0
169280,0.0,0.0
169920,1,1.0
170000,0.0,0.0
170040,0.0,0.0
170060,0.0,0.0
170080,0.0,0.0
170100,0.0,0.0
170120,0.0,0.0
170140,0.0,0.0
170280,0.0,0.0
170920,0.0,0.0
171000,0.0,0.0
171040,0.0,0.0
171060,0.0,0.0
171080,0.0,0.0
171100,0.0,0.0
171120,0.0,0.0
171140,0.0,0.0
171160,0.0,0.0
171340,0.0,0.0
171920,0.0,0.0
172000,0.0,0.0
172040,0.0,0.0
172060,0.0,0.0
172080,0.0,0.0
172100,0.0,0.0
172120,0.0,0.0
172140,0.0,0.0
172160,0.0,0.0
172480,0.0,0.0
172920,0.0,0.0
173000,0.0,0.0
173040,0.0,0.0
173060,0.0,0.0
173080,0.0,0.0
173100,0.0,0.0
173120,0.0,0.0
173140,0.0,0.0
173160,0.0,0.0
173700,1,1.0
173920,0.0,0.0
174000,0.0,0.0
174040,0.0,0.0
174060,0.0,0.0
174080,0.0,0.0
174100,0.0,0.0
174140,0.0,0.0
174160,0.0,0.0
174700,0.0,0.0
174920,0.0,0.0
175000,0.0,0.0
175040,0.0,0.0
175060,0.0,0.0
175080,0.0,0.0
175100,0.0,0.0
175140,0.0,0.0
175160,0.0,0.0
175700,0.0,0.0
175720,1,1.0
175920,0.0,0.0
176000,0.0,0.0
176040,0.0,0.0
176060,0.0,0.0
176080,0.0,0.0
176140,0.0,0.0
176160,0.0,0.0
176240,0.0,0.0
176700,0.0,0.0
176720,0.0,0.0
176920,0.0,0.0
177000,0.0,0.0
177040,0.0,0.0
177060,0.0,0.0
177080,0.0,0.0
177100,0.0,0.0
177140,0.0,0.0
177160,0.0,0.0
177180,0.0,0.0
177240,0.0,0.0
177700,0.0,0.0
177720,0.0,0.0
177920,0.0,0.0
178000,0.0,0.0
178040,0.0,0.0
178060,0.0,0.0
178080,0.0,0.0
178100,0.0,0.0
178140,0.0,0.0
178160,0.0,0.0
178180,0.0,0.0
178240,0.0,0.0
178700,0.0,0.0
178720,0.0,0.0
178920,0.0,0.0
179000,0.0,0.0
179040,0.0,0.0
179060,0.0,0.0
179080,0.0,0.0
179100,0.0,0.0
179140,0.0,0.0
179160,0.0,0.0
179180,0.0,0.0
179240,0.0,0.0
179700,0.0,0.0
179720,0.0,0.0
179920,0.0,0.0
180000,0.0,0.0
180040,0.0,0.0
180060,0.0,0.0
180080,0.0,0.0
180100,0.0,0.0
180140,0.0,0.0
180160,0.0,0.0
180180,0.0,0.0
180240,0.0,0.0
180380,1,1.0
180700,0.0,0.0
180720,0.0,0.0
180920,0.0,0.0
181000,0.0,0.0
181040,0.0,0.0
181060,0.0,0.0
181080,0.0,0.0
181100,0.0,0.0
181140,0.0,0.0
181160,0.0,0.0
181180,0.0,0.0
181240,0.0,0.0
181320,1,1.0
181380,0.0,0.0
181700,0.0,0.0
181720,0.0,0.0
181920,0.0,0.0
182000,0.0,0.0
182040,0.0,0.0
182060,0.0,0.0
182100,0.0,0.0
182140,0.0,0.0
182160,0.0,0.0
182180,0.0,0.0
182240,0.0,0.0
182320,0.0,0.0
182380,0.0,0.0
182700,0.0,0.0
182720,0.0,0.0
182920,0.0,0.0
183000,0.0,0.0
183040,0.0,0.0
183060,0.0,0.0
183100,0.0,0.0
183140,0.0,0.0
183160,0.0,0.0
183180,0.0,0.0
183240,0.0,0.0
183320,0.0,0.0
183380,0.0,0.0
183700,0.0,0.0
183720,0.0,0.0
183920,0.0,0.0
184000,0.0,0.0
184040,0.0,0.0
184060,0.0,0.0
184100,0.0,0.0
184140,0.0,0.0
184160,0.0,0.0
184180,0.0,0.0
184240,0.0,0.0
184320,0.0,0.0
184380,0.0,0.0
184700,0.0,0.0
184720,0.0,0.0
184920,0.0,0.0
185000,0.0,0.0
185040,0.0,0.0
185080,0.0,0.0
185140,0.0,0.0
185160,0.0,0.0
185180,0.0,0.0
185220,1,1.0
185240,0.0,0.0
185320,0.0,0.0
185380,0.0,0.0
185460,1,1.0
185700,0.0,0.0
185720,0.0,0.0
185920,0.0,0.0
186000,0.0,0.0
186040,0.0,0.0
186080,0.0,0.0
186120,0.0,0.0
186140,0.0,0.0
186160,0.0,0.0
186180,0.0,0.0
186220,0.0,0.0
186240,0.0,0.0
186380,0.0,0.0
186460,0.0,0.0
186700,0.0,0.0
186720,0.0,0.0
186920,0.0,0.0
187000,0.0,0.0
187040,0.0,0.0
187120,0.0,0.0
187140,0.0,0.0
187160,0.0,0.0
187180,0.0,0.0
187220,0.0,0.0
187240,0.0,0.0
187280,0.0,0.0
187380,0.0,0.0
187460,0.0,0.0
187700,0.0,0.0
187720,0.0,0.0
187920,0.0,0.0
188000,0.0,0.0
188040,0.0,0.0
188120,0.0,0.0
188140,0.0,0.0
188160,0.0,0.0
188220,0.0,0.0
188240,0.0,0.0
188280,0.0,0.0
188300,0.0,0.0
188380,0.0,0.0
188460,0.0,0.0
188700,0.0,0.0
188720,0.0,0.0
188920,0.0,0.0
189000,0.0,0.0
189040,0.0,0.0
189120,0.0,0.0
189140,0.0,0.0
189160,0.0,0.0
189220,0.0,0.0
189240,0.0,0.0
189280,0.0,0.0
189300,0.0,0.0
189380,1,0.5
189460,0.0,0.0
189560,0.0,0.0
189600,0.0,0.0
189700,0.0,0.0
189720,0.0,0.0
189920,0.0,0.0
190000,0.0,0.0
190040,0.0,0.0
190120,0.0,0.0
190140,0.0,0.0
190160,0.0,0.0
190220,0.0,0.0
190240,0.0,0.0
190280,0.0,0.0
190300,0.0,0.0
190380,0.0,0.0
190460,0.0,0.0
190560,0.0,0.0
190600,0.0,0.0
190700,0.0,0.0
190720,0.0,0.0
190920,0.0,0.0
191000,0.0,0.0
191120,0.0,0.0
191140,0.0,0.0
191160,0.0,0.0
191220,0.0,0.0
191240,0.0,0.0
191280,0.0,0.0
191300,0.0,0.0
191380,0.0,0.0
191460,0.0,0.0
191560,0.0,0.0
191600,0.0,0.0
191700,0.0,0.0
191720,0.0,0.0
191920,0.0,0.0
192000,0.0,0.0
192120,0.0,0.0
192140,0.0,0.0
192160,0.0,0.0
192220,0.0,0.0
192240,0.0,0.0
192280,0.0,0.0
192300,0.0,0.0
192380,0.0,0.0
192460,0.0,0.0
192560,0.0,0.0
192600,0.0,0.0
192700,0.0,0.0
192720,0.0,0.0
192920,0.0,0.0
193000,0.0,0.0
193120,0.0,0.0
193140,0.0,0.0
193160,0.0,0.0
193240,0.0,0.0
193280,0.0,0.0
193300,0.0,0.0
193380,0.0,0.0
193460,0.0,0.0
193560,0.0,0.0
193600,0.0,0.0
193700,0.0,0.0
193720,0.0,0.0
193920,0.0,0.0
194000,0.0,0.0
194120,0.0,0.0
194140,0.0,0.0
194160,0.0,0.0
194240,0.0,0.0
194280,0.0,0.0
194300,0.0,0.0
194380,0.0,0.0
194460,0.0,0.0
194560,0.0,0.0
194660,0.0,0.0
194700,0.0,0.0
194720,0.0,0.0
194920,0.0,0.0
195000,0.0,0.0
195120,0.0,0.0
195140,0.0,0.0
195160,0.0,0.0
195240,0.0,0.0
195260,0.0,0.0
195280,0.0,0.0
195300,0.0,0.0
195320,0.0,0.0
195380,0.0,0.0
195460,0.0,0.0
195560,0.0,0.0
195660,0.0,0.0
195700,0.0,0.0
195720,0.0,0.0
195920,0.0,0.0
196000,0.0,0.0
196120,0.0,0.0
196140,0.0,0.0
196160,0.0,0.0
196240,0.0,0.0
196260,0.0,0.0
196280,0.0,0.0
196300,0.0,0.0
196320,0.0,0.0
196380,0.0,0.0
196420,0.0,0.0
196460,0.0,0.0
196500,1,1.0
196560,0.0,0.0
196660,0.0,0.0
196700,0.0,0.0
196720,0.0,0.0
196920,0.0,0.0
197040,0.0,0.0
197100,0.0,0.0
197120,0.0,0.0
197140,0.0,0.0
197160,0.0,0.0
197240,0.0,0.0
197260,0.0,0.0
197280,0.0,0.0
197300,0.0,0.0
197320,0.0,0.0
197380,0.0,0.0
197420,0.0,0.0
197460,0.0,0.0
197500,0.0,0.0
197560,0.0,0.0
197660,0.0,0.0
197700,0.0,0.0
197720,0.0,0.0
197920,0.0,0.0
198040,0.0,0.0
198100,0.0,0.0
198120,0.0,0.0
198140,0.0,0.0
198160,0.0,0.0
198240,0.0,0.0
198260,0.0,0.0
198280,0.0,0.0
198300,0.0,0.0
198320,0.0,0.0
198380,0.0,0.0
198420,0.0,0.0
198460,0.0,0.0
198500,0.0,0.0
198560,0.0,0.0
198700,0.0,0.0
198720,0.0,0.0
198900,1,1.0
199040,0.0,0.0
199100,0.0,0.0
199120,0.0,0.0
199140,0.0,0.0
199160,0.0,0.0
199240,1,0.5
199260,0.0,0.0
199280,0.0,0.0
